Kanji	Reading	Meaning	Level	Year	Strokes	Examples	Etymology	Mnemonic	Images
学	GAKU, mana	learning	L5	11	8	学校 [GAKKŌ] - school; 化学 [KAGAKU] - chemistry; 学者 [GAKUSHA] - scholar			
気	KI, KE	spirit	L5	12	6	気分 [KIBUN] - mood; 天気 [TENKI] - weather; 電気 [DENKI] - electricity		SPIRIT-LIKE VAPORS OVER A CROSS	
九	KYŪ, KU, kokono-	nine	L5	13	2	十九 [JŪKYŪ] - nineteen; 九日 [kokonoka] - ninth day; 九月 [KUGATSU] - September		SOMETHING HOOKED AWAY FROM TEN LEAVES NINE	
休	KYŪ, yasu	rest(ing)	L5	14	6	休日 [KYŪJITSU] - holiday; 休戦 [KYŪSEN] - truce; 夏休み [natsuyasumi] - summer break		PERSON RESTS AGAINST TREE	
玉	GYOKU, tama	jewel, ball	L3	15	5	玉杯 [GYOKUHAI] - jade cup; 玉突き [tamatsuki] - billiards; 目玉 [medama] - eyeball		STRING OF BALL-LIKE JEWELS FIT FOR A KING	
金	KIN, KON, kane	gold, metal, money	L5	16	8	金曜日 [KIN’YŌbi] - Friday; 金色 [KONJIKI] - gold color; 金持ち [kanemochi] - rich person		KING KEEPS TWO GOLD NUGGETS UNDER COVER	
空	KŪ, sora, kara	sky, empty	L5	17	8	空気 [KŪKI] - air; 空色 [sorairo] - sky-blue; 空箱 [karabako] - empty box	Bronze . The top five strokes (of the modern form) depict the entrance to a hollowed-out pit, or cave 穴 860, i.e., something empty; subsequently extended to mean ‘sky’. The lower element 工 125 (‘work, tool’) serves as a phonetic, with an associated sense of ‘hole’. References: SS1984:220; KJ1970:401; MS1995:v2:974-5. We suggest remembering by using 工 in its meaning of ‘work’.	WORK TO OPEN THE ROOF TO SEE THE EMPTY SKY	images/51d.jpg
月	GETSU, GATSU, tsuki	moon, month	L5	18	4	今月 [KONGETSU] - this month; 月曜日 [GETSUYŌ bi] - Monday; 月見 [tsukimi] - moon viewing	Originally depicting crescent moon with pitted surface , later undergoing a cumulative process of stylization As a determinative, 月 . Note that the determinative for 肉 209 ‘meat/flesh’ is of the same shape 月 in compound graphs. SS1984:252; KJ1970:953.		images/52a.jpg; images/52b.jpg
犬	KEN, inu	dog	L4	19	4	猟犬 [RYŌKEN] - hunting-dog; 犬小屋 [inugoya] - kennel; 子犬 [koinu] - puppy	Based on pictograph of a dog rearing up . Occurs also in the form 犭 as a left-hand determinative, sometimes in characters for other animals. References: QX2000:65-67; SS1984:254. We suggest remembering it by taking it as 大 56 ‘big’ plus a spot.		images/52c.jpg
見	KEN, mi	look, see, show	L5	20	7	発見 [HAKKEN] - discovery; 見物 [KENBUTSU] - sightseeing; 見物 [mimono] - spectacle, sight			
五	GO, itsu-	five	L5	21	4	五月 [GOGATSU] - May; 五人 [GONIN] - five people; 五日 [itsuka] - fifth day			
口	KŌ, KU, kuchi	mouth, opening	L5	22	3	人口 [JINKŌ] - population; 口実 [KŌJITSU] - pretext; 出口 [deguchi] - exit			
校	KŌ	school, check	L5	23	10	校正 [KŌSEI] - proofreading; 高校 [KŌKŌ] - high school; 校長 [KŌCHŌ] - school principal			
左	SA, hidari	left	L5	24	5	左派 [SAHA] - leftist faction; 左側 [hidarigawa] - left side; 左手 [hidarite] - left hand			
三	SAN, mi-	three	L5	25	3	三月 [SANGATSU] - March; 三角 [SANKAKU] - triangle			
山	SAN, yama	mountain, hill	L5	26	3	氷山 [HYŌZAN] - iceberg; 沢山 [TAKUSAN] - large quantity; 山道 [yamamichi] - mountain trail			
子	SHI, SU, ko	child	L5	27	3	電子 [DENSHI] - electron; 子供 [kodomo] - child(ren); 様子 [YŌSU] - state of things			
四	SHI, yo-, yon	four	L5	28	5	四月 [SHIGATSU] - April; 四日 [yokka] - fourth day; 四回 [yonKAI] - four times		FOUR FINGERS IN CLENCHED FIST	
糸	SHI, ito	thread	L3	29	6	製糸 [SEISHI] - silk making; 毛糸 [keito] - woollen yarn; 糸巻 [itomaki] - thread-reel		SKEIN OF TWISTED THREAD	
字	JI	letter, symbol	L4	30	6	字引 [JIbiki] - dictionary; 赤字 [akaJI] - ‘in the red’, deficit; 数字 [SŪJI] - digit, number		A CHILD AT HOME LEARNING LETTERS	
耳	JI, mimi	ear	L5	31	6	耳科 [JIKA] - otology; 耳鳴り [miminari] - tinnitus; 耳飾り [mimikazari] - earring		POINTED EAR	
七	SHICHI, nana-	seven	L5	32	2	七月 [SHICHIGATSU] - July; 七日 [nanoka*] - seventh day; 七重 [nanae] - seven-fold		BADLY WRITTEN TEN: ONLY WORTH SEVEN	
車	SHA, kuruma	vehicle	L5	33	7	電車 [DENSHA] - train; 洗車場 [SENSHAJŌ] - carwash; 手車 [teguruma] - handcart		CHARIOT WITH TWO WHEELS	
手	SHU, te	hand	L5	34	4	手段 [SHUDAN] - means; 手袋 [tebukuro] - gloves; 上手 [JŌZU*] - skill		HAND WITH FIVE FINGERS BUT THE MIDDLE ONE BENT	
十	JŪ, tō	ten	L5	35	2	十月 [JŪGATSU] - October; 十日 [tōka] - tenth day; 十字 [JŪJI] - a cross		A PROPER CROSS GETS TEN OUT OF TEN	
出	SHUTSU, de	emerge, put out	L5	36	5	出発 [SHUPPATSU] - departure; 思い出 [omoide] - a memory; 引き出し [hikidashi] - drawer			
女	JO, NYO, NYŌ, onna, me	woman	L5	37	3	女性 [JOSEI] - woman; 女房 [NYŌBŌ] - wife; 女の子 [onna-no-ko] - girl			
小	SHŌ, chii	small	L5	38	3	小説 [SHŌSETSU] - a novel; 小犬 [koinu] - small dog, puppy; 小川 [ogawa] - brook, stream		A STROKE DIVIDED INTO TWO SMALL ONES	
上	JŌ, ue, uwa-, kami, a	up, top, over, rise	L5	39	3	以上 [IJŌ] - over, above; 川上 [kawakami] - upstream; 値上げ [neage] - price rise		BAR WITH HANDLE RISES UP OVER THE BASE LINE	
森	SHIN, mori	woods	L4	40	12	森林 [SHINRIN] - forest, woods; 森閑 [SHINKAN] - silence; 青森 [Aomori] - Aomori City/Pref.		THE WOODS CONTAIN MANY TREES, ALL GROWING IN THREES!	
人	JIN, NIN, hito	person, people	L5	41	2	日本人 [NIHONJIN] - (a) Japanese; 人間 [NINGEN] - human being; 人出 [hitode] - crowd, turnout		A PERSON WALKING WITH NO ARMS OR HEAD?!	
水	SUI, mizu	water	L5	42	4	水曜日 [SUIYŌbi] - Wednesday; 水素 [SUISO] - hydrogen; 大水 [ōmizu] - flood		WATER NARROWS BETWEEN RIVER BANKS	
正	SEI, SHŌ, tada	correct, proper	L4	43	5	正解 [SEIKAI] - right answer; 正月 [SHŌGATSU] - New Year; 正に [masa ni] - just, exactly		TO STOP AT THE LINE IS TO DO THE CORRECT AND PROPER THING	
生	SEI, SHŌ, i	life, birth, grow	L5	44	5	学生 [GAKUSEI] - student; 一生 [ISSHŌ] - one’s whole life; 生き物 [ikimono] - living thing		GROWING PLANT IS A SYMBOL OF LIFE	
青	SEI, SHŌ, ao	young, fresh, green/blue	L4	45	8	青年 [SEINEN] - a youth; 青空 [aozora] - blue sky; 青物 [aomono] - greens			
夕	SEKI, yū	evening	L4	46	3	今夕 [KONSEKI] - this evening; 夕食 [yūSHOKU] - evening meal; 夕日 [yūhi] - setting sun		CRESCENT MOON WITH A WISP OF CLOUD INDICATES EVENING	
石	SEKI, SHAKU, ishi	stone, rock	L3	47	5	化石 [KASEKI] - fossil; 小石 [koishi] - pebble; 石油 [SEKIYU] - petroleum		LARGE STONE AT BASE OF ROCKY CLIFF	
赤	SEKI, SHAKU, aka	red	L4	48	7	赤道 [SEKIDŌ] - equator; 赤面 [SEKIMEN] - blush; 赤ん坊 [akanbō] - baby		BIG FIRE MAKES EARTH GLOW RED	
千	SEN, chi	thousand	L5	49	3	千円 [SEN’EN] - thousand yen; 五千 [GOSEN] - five thousand; 千鳥 [chidori] - plover		ADD A STROKE ON TOP, AND TEN BECOMES A THOUSAND	
川	SEN, kawa	river	L5	50	3	江戸川 [edogawa] - Edo River		RIVER FLOWS BETWEEN TWO BANKS	
先	SEN, saki	prior, precede, tip	L5	51	6	先生 [SENSEI] - teacher; 先月 [SENGETSU] - last month; 指先 [yubisaki] - fingertip		BEND TO GO THROUGH UNDER-GROWTH – YOU PRECEDE ME!	
早	SŌ, haya	early, fast	L4	52	6	早急 [SŌKYŪ] - immediately; 早口 [hayakuchi] - rapid speech; 早死に [hayajini] - early death		SUN SHOWS TEN BUT IT’S STILL EARLY	
草	SŌ, kusa	grass, plant	L3	53	9	草地 [kusaCHI] - grassland	Seal late graph ( Shuowen ). 艹 (short form of 艸 ‘grass, plants’), and 早 52 (‘fast, early’) as phonetic to give meaning ‘acorn’ (Qiu, Katō), but borrowed early on for ‘grass, plants’. The borrowed usage soon prevailed. QX2000:266; KJ1970:427; TA1965:216-8.	GRASS GROWS FAST	images/59d.jpg
足	SOKU, ashi, ta	leg, foot, suffice	L5	54	7	足音 [ashioto] - footsteps		ROUND KNEE AND FOOT SUFFICE TO SHOW LEG	
村	SON, mura	village	L5	55	7	村長 [SONCHŌ] - village head; 農村 [NŌSON] - farming village; 村人 [murabito] - villager(s)		MEASURE TREES TO BUILD A VILLAGE	
大	DAI, TAI,	big	L5	56	3	大会 [TAIKAI] - assembly; 大学 [DAIGAKU] - university; 大声 [ō goe] - loud voice		PERSON SPREADS ARMS AND LEGS TO LOOK BIG	
男	DAN, NAN, otoko	man, male	L5	57	7	男子 [DANSHI] - boy; 長男 [CHŌNAN] - eldest son; 男気 [otokogi] - gallantry		MAN PROVIDES STRENGTH IN FIELD	
竹	CHIKU, take	bamboo	L3	58	6	爆竹 [BAKUCHIKU] - firecracker; 竹馬 [takeuma] - stilts; 竹やぶ [takeyabu] - bamboo grove		TWO BAMBOO SEGMENTS	
中	CHŪ, naka	middle, inside, China/Sino-	L5	59	4	中立 [CHŪRITSU] - neutrality; 中国 [CHŪGOKU] - China; 真ん中 [mannaka] - very middle			
虫	CHŪ, mushi	insect, worm	L3	60	6	寄生虫 [KISEICHŪ] - parasite; 害虫 [GAICHŪ] - harmful insect; 虫歯 [mushiba] - decayed tooth		HOODED SNAKE REARS TO CATCH AN INSECT	
町	CHŌ, machi	town, block	L4	61	7	町民 [CHŌMIN] - townspeople; 町役場 [machiYAKUba] - town office; 下町 [shitamachi] - downtown		TOWN AT T-JUNCTION NEXT TO FIELD	
天	TEN, ama-, ame	heaven	L5	62	4	天使 [TENSHI] - angel; 天皇 [TENNŌ] - emperor; 天下り [amakudari] - heavenly descent		BIG MAN GETS HEAD FLATTENED IN HEAVENLY DESCENT	
田	DEN, ta	rice-field, paddy	L4	63	5	田園 [DEN’EN] - rural area; 田植え [taue] - rice planting; 田舎 [inaka*] - countryside		A FIELD DIVIDED INTO FOUR QUARTERS	
土	DO, TO, tsuchi	earth, ground	L5	64	3	土曜日 [DOYŌbi] - Saturday; 土地 [TOCHI] - land; 土臭い [tsuchikusai] - unsophisticated		A PLANT BREAKS THROUGH THE GROUND	
二	NI, futa-	two	L5	65	2	二月 [NIGATSU] - February; 二十 [NIJŪ] - twenty; 二人 [NININ/futari*] - two people		TWO LINES MEANS TWO, EVEN IF ONE IS SHORT	
日	NICHI, JITSU, hi, -ka	sun, day	L5	66	4	日曜日 [NICHIYŌbi] - Sunday; 本日 [HONJITSU] - today; 二日 [futsuka*] - second day		IN LINE WITH THE SUN, A NEW DAY’S BEGUN	
入	NYŪ, hai	enter, put in	L5	67	2	輸入 [YUNYŪ] - import; 入り口 [iriguchi] - entrance; 入れ物 [iremono] - container		BEND TO ENTER THROUGH INVERTED V-SHAPED OPENING	
年	NEN, toshi	year	L5	68	6	来年 [RAINEN] - next year; 五年生 [GONENSEI] - fifth grader; 年寄 [toshiyori] - elderly person		PERSON VISITS MISSHAPEN WELL EVERY YEAR	
白	HAKU, shiro	white	L5	69	5	白書 [HAKUSHO] - White Paper; 面白い [omoshiroi] - interesting; 白髪 [shiraga*] - greyed hair		SUNSTROKE LEAVES YOU WHITE!?	
八	HACHI, ya-	eight	L5	70	2	八月 [HACHIGATSU] - August; 八百屋 [yaoya*] - greengrocer; 八日 [yōka*] - eighth day		EIGHT IS EASILY DIVIDED	
百	HYAKU	hundred	L5	71	6	百倍 [HYAKUBAI] - hundred-fold; 百姓 [HYAKUSHŌ] - farmer; 百貨店 [HYAKKATEN] - dept store		ONE WHITE THUMBNAIL IS WORTH A HUNDRED ACORNS	
文	BUN, MON, fumi	writing, text	L4	72	4	文学 [BUNGAKU] - literature; 文字 [MO(N)JI] - character; 恋文 [koibumi] - love-letter		A CROSS IS THE LOWEST FORM OF WRITING: TRY TO TOP IT	
木	BOKU, MOKU, ki, ko	tree, wood	L5	73	4	木曜日 [MOKUYŌbi] - Thursday; 木目 [kime] - grain, texture; 木立 [kodachi*] - grove		TREE WITH SWEEPING BRANCHES – LOOKS LIKE GOOD WOOD	
本	HON, moto	root, book, true, main, this, cylinder-counter	L5	74	5	日本 [NIHON/NIPPON] - Japan; 本屋 [HONya] - bookshop; 本社 [HONSHA] - this/head office		TREE WITH ONE MAIN ROOT BELOW GROUND	
名	MEI, MYŌ, na	name, fame	L5	75	6	有名 [YŪMEI] - famous; 名字 [MYŌJI] - surname; 名前 [namae] - name		MOUTH CALLS FAMOUS NAME UNDER A CRESCENT MOON	
目	MOKU, me, ma	eye, look, mesh, ordinal suffix	L5	76	5	一目 [hitome] - glance; 一つ目 [hitotsume] - first; 注目 [CHŪMOKU] - attention		SQUARE-EYED AND VERTICAL – WATCHING TOO MUCH TV?	
立	RITSU, ta	stand, rise, leave	L5	77	5	自立 [JIRITSU] - independence; 立場 [tachiba] - standpoint; 目立つ [medatsu] - stand out		STAND TO TAKE YOUR LEAVE	
力	RYOKU, RIKI, chikara	strength, effort	L4	78	2	能力 [NŌRYOKU] - ability; 人力車 [JINRIKISHA] - rickshaw; 力持ち [chikaramochi] - strongman		STRONG UPPER ARM AND SHOULDER	
林	RIN, hayashi	forest	L4	79	8	林学 [RINGAKU] - forestry; 小林 [Kobayashi] - a surname; 密林 [MITSURIN] - dense forest		TWO TALL TREES IN THE FOREST	
六	ROKU, mu-	six	L5	80	4	六月 [ROKUGATSU] - June; 六日 [muika*] - sixth day; 六角 [ROKKAKU] - hexagon		LADEN TABLE FOR SIX LOSES ITS LEGS	
引	IN, hi	pull, draw	L4	81	4	引力 [INRYOKU] - gravity; 字引 [JIbiki] - dictionary; 取り引き [torihiki] - dealings		FANCY BOW WITH STRING WAITING TO BE PULLED	
羽	U, ha, -wa, hane	wing, feather, bird-counter	L3	82	6	羽毛 [UMŌ] - plumage; 羽織 [haori] - haori coat; 一羽 [ICHIwa] - one bird		FEATHERED WINGS	
雲	UN, kumo	cloud	L3	83	12	星雲 [SEIUN] - nebula; 浮雲 [ukigumo] - drifting cloud; 雲行き [kumoyuki] - turn of events		RAIN FROM HEAVENLY CLOUDS	
園	EN, sono	park, garden	L3	84	13	公園 [KŌEN] - park; 動物園 [DŌBUTSUEN] - zoo; 花園 [hanazono] - flower garden		AT OPENING OF ENCLOSED PARK, FUNNY CLOTHES GET SOILED	
遠	EN, tō	distant	L4	85	13	遠足 [ENSOKU] - excursion; 遠視 [ENSHI] - longsighted; 遠回り [tōmawari] - detour		GO TO DISTANT OPENING TO SEE FUNNY SOILED CLOTHES	
何	KA, nan(i)	what? how many?	L5	86	7	何回 [nanKAI] - how often?; 何歳 [nanSAI] - how old?; 何者 [nanimono] - who?		WHAT!? HOW MANY LOADS CAN A PERSON CARRY!?	
科	KA	course, section	L3	87	9	科学 [KAGAKU] - science; 学科 [GAKKA] - school subject; 英語科 [EIGOKA] - English Dept		A COURSE ON MEASURES FOR GRAIN PLANTS	
夏	KA, GE, natsu	summer	L4	88	10	初夏 [SHOKA] - early summer; 真夏 [manatsu] - midsummer; 夏至 [GESHI] - summer solstice		MASKED HEAD AND CROSSED LEGS SHOW SUMMER MADNESS	
家	KA, KE, ie, -ya	house, specialist	L4	89	10	農家 [NŌKA] - farmhouse; 武家 [BUKE] - warrior family; 小説家 [SHŌSETSUKA] - novelist		SPECIALIST’S HOUSE LOOKS LIKE A PIG-STY!	
歌	KA, uta, uta	song, sing	L4	90	14	歌手 [KASHU] - singer; 短歌 [TANKA] - short verse; 歌声 [utagoe] - singing voice		GAPING MOUTH SINGS THE CAN-CAN	
画	GA, KAKU	picture, stroke	L4	91	8	映画 [EIGA] - movie; 画面 [GAMEN] - screen; 計画 [KEIKAKU] - plan		FIELD IN PICTURE PARTITIONED BY STROKES	
回	KAI, mawa	turn, rotate	L4	92	6	回転 [KAITEN] - revolution; 回数 [KAISŪ] - frequency; 言い回し [iimawashi] - turn of phrase		CO-AXIAL ROTATION	
会	KAI, E, a	meet	L5	93	6	会社 [KAISHA] - company; 会釈 [ESHAKU] - greeting; 国会 [KOKKAI] - the Diet		TWO PERSONS’ NOSES MEET	
海	KAI, umi	sea	L4	94	9	海軍 [KAIGUN] - navy; 日本海 [NIHONKAI] - Japan Sea; 海辺 [umibe] - seaside		EVERY DROP OF WATER ENDS UP IN THE SEA	
絵	KAI, E	picture	L3	95	12	絵画 [KAIGA] - picture, painting; 口絵 [kuchiE] - frontispiece; 絵本 [EHON] - picture-book		THREADS MEET IN EMBROIDERED PICTURE	
外	GAI, GE, soto, hoka, hazu	outside, other, undo, miss	L5	96	5	外人 [GAIJIN] - foreigner; 外科 [GEKA] - surgery; 外側 [sotogawa] - outside		CRESCENT MOON WITH A CRACK ON THE OUTSIDE?!	
角	KAKU, tsuno, kado	horn, angle, corner	L3	97	7	角度 [KAKUDO] - angle; 角笛 [tsunobue] - bugle, horn; 街角 [machikado] - street corner		ANGULAR HORN IS QUITE SQUARE WITH BROKEN TIP	
楽	GAKU, RAKU, ta-no	pleasure, music	L4	98	13	気楽 [KIRAKU] - comfort; 楽器 [GAKKI] - instrument; 楽しみ [tanoshimi] - pleasure		TASSELED DRUM ON WOODEN STAND MAKES PLEASING MUSIC	
活	KATSU	activity, life	L3	99	9	活気 [KAKKI] - liveliness; 活動 [KATSUDŌ] - activity		WET TONGUE IS A SIGN OF AN ACTIVE LIFE	
間	KAN, KEN, aida, ma	space, gap	L5	100	12	時間 [JIKAN] - hour, time; 人間 [NINGEN] - human being; 間違い [machigai] - mistake		SUN SHINES THROUGH GAP IN SALOON DOORS	
丸	GAN, maru, maru	round, circle, ball, ship-mark	L3	101	3	丸薬 [GAN’YAKU] - pill; 丸み [marumi] - roundness; 日本丸 [NIPPON-maru] - ‘HMS’ Nippon		NINE IS ROUNDED OFF WITH AN EXTRA STROKE	
岩	GAN, iwa	rock, crag	L3	102	8	岩石 [GANSEKI] - rock; 岩屋 [iwaya] - cave; 火成岩 [KASEIGAN] - igneous rock		STONY MOUNTAIN IS ALL ROCK	
顔	GAN, kao	face	L4	103	18	顔面 [GANMEN] - face; 顔色 [kaoiro] - complexion; 顔付き [kaotsuki] - countenance		ONLY THREE HAIRS LEFT STANDING ON HEAD: GLUM FACE	
汽	KI	steam, vapor	L1	104	7	汽車 [KISHA] - steam train; 汽船 [KISEN] - steamship; 汽笛 [KITEKI] - steam whistle		STEAM COMPRISES WATERY VAPORS	
記	KI	chronicle	L3	105	10	記者 [KISHA] - reporter; 記事 [KIJI] - article; 日記 [NIKKI] - diary		A WORDY CHRONICLE WITH A TWIST IN IT	
帰	KI, kae	return	L4	106	10	帰化 [KIKA] - naturalization; 帰省 [KISEI] - homecoming; 帰り道 [kaerimichi] - way back		RETURN WITH WIFE CARRYING BROOM AND SWORD	
弓	KYŪ, yumi	bow, archery, arc	L1	107	3	弓道 [KYŪDŌ] - archery; 弓状 [KYŪJŌ] - arch; 弓取り [yumitori] - archer		STRINGLESS BOW	
牛	GYŪ, ushi	cow, bull	L4	108	4	牛肉 [GYŪNIKU] - beef; 牛耳る [GYŪJIru*] - control someone; 牛飼い [ushigai] - cowherd		COW WITH EARS AND BROKEN HORN	
魚	GYO, uo, sakana	fish	L5	109	11	金魚 [KINGYO] - goldfish; 魚釣り [uotsuri] - angling; 魚屋 [sakanaya] - fishmonger		FISH WITH SQUARE BODY AND FIERY TAIL	
京	KYŌ, KEI	capital	L4	110	8	東京 [TŌKYŌ] - Tokyo; 上京 [JŌKYŌ] - going to capital; 京浜 [KEIHIN] - Tokyo-Yokohama		FANCY LANTERN SYMBOLISES THE CAPITAL	
強	KYŌ, GŌ, shi	strength, compel	L4	111	11	勉強 [BENKYŌ] - study; 強盗 [GŌTŌ] - burglar/burglary; 強み [tsuyomi] - strong point	Seal . According to Qiu, 强 (a variant of 強 ; standard in PRC usage) originally refers to type of ‘insect’ 虫 60, but came to be used as substitute for another graph of more complex shape, i.e. 彊 . In part, this was because pronunciation for the two words concerned in early Chinese represented by 強 / 强 and 彊 was identical, if we accept Schuessler’s reconstruction of sound values. Latter graph is made up of 弓 ’bow’ 107 and two ‘field’ graphs 田 63 with three straight dividing lines (note that as independent graph this component here had the sense of ‘boundary’). The meaning of 彊 , first found in OBI texts, is tentatively taken as ‘strong bow’ by Tōdō, who sees ‘unmoving’ – and thereby ‘strong’ – as extended senses of ‘boundary’. As for 弓 , it is thought that the bow, being of standard length, may have had the additional role of being a convenient tool for making land measurements. QX2000:358; AS2007:427; MR2007:484; TA1965:394-5. Suggest taking ム as a nose.	STRONG BOW AIMED AT INSECT’S NOSE	images/73a.jpg
教	KYŌ, oshi	teach	L4	112	11	教会 [KYŌKAI] - church; 教室 [KYŌSHITSU] - classroom; 教え子 [oshiego] - pupil		OLD MAN, STICK IN HAND, TEACHES CHILD TO COUNT BEAMS	
近	KIN, chika	near	L4	113	7	近所 [KINJO] - neighborhood; 最近 [SAIKIN] - recently; 近道 [chikamichi] - shortcut	Seal . Has 辶 85 ‘walk along road, go’, and 斤 1233 (‘ax’) as phonetic with associated sense ‘a little’. ‘Near’ is an extended sense based on ‘walk a short distance’. MR2007:503; KJ1970:285; OT1968:993; TA1960:695-8.	GO TO AN AX NEARBY	images/Chapter2_img_40.jpg
兄	KEI, KYŌ, ani	elder brother	L4	114	5	父兄 [FUKEI] - guardians; 兄弟 [KYŌDAI] - brothers; 兄さん [niisan*] - elder brother		ELDER BROTHER IS JUST MOUTH AND LEGS	
形	KEI, GYŌ, kata(chi)	shape, form	L3	115	7	形式的 [KEISHIKITEKI] - formal; 人形 [NINGYŌ] - doll; 形見 [katami] - keepsake	Seal forms , . Relatively late origin ( Shuowen ). Interpretations vary. Has 彡 ‘color, brush pattern’ (etc.) (determinative no. 59), and left-hand element identical with or close in shape to 井 1575 ‘well’. In one view, taken as consisting of 彡 meaning ‘writing brush hairs’, and 开 as phonetic with associated sense ‘imitate, model after’, giving ‘model, copy’ (Katō). Another analysis treats as 彡 ‘pattern’, and 开 / 井 as semantic and phonetic meaning ‘square frame’, giving ‘mold (to make copies)’ (Tōdō). Shirakawa also sees 开 / 井 as representing a frame or mold. TA1965:501-3; SS1984:227; KJ1970:359; KJ1985:214.	THREE STROKES NEXT TO A GRID FORM IS A DISTINCTIVE SHAPE	images/Chapter2_img_44.jpg; images/Chapter2_img_45.jpg
計	KEI, haka	measure	L4	116	9	合計 [GŌKEI] - sum total; 計算 [KEISAN] - calculation; 速度計 [SOKUDOKEI] - speedometer		COUNTING IN TENS MAKES IT EASY TO MEASURE	
